174.03,180.07,179.00,166.16,165.81,170.30,176.86
89.90,87.64,92.75,92.95,94.20,90.27,94.36
22.49,43.79,21.80,25.64,20.89,25.27,22.48
10.76,9.34,5.49,4.17,3.81,5.64,4.96
4.85,5.20,4.64,3.00,3.61,3.06,3.07
0.93,1.10,0.58,0.33,0.57,0.53,0.68
1.43,1.28,0.96,0.90,0.66,1.47,1.47
47.13,51.96,42.95,29.94,41.05,45.64,49.88
71.87,69.46,55.14,47.70,58.15,73.81,62.25
2.07,2.04,2.72,2.78,2.92,3.34,2.94
2.75,1.40,2.37,2.02,1.06,2.26,2.36
12.53,6.42,4.09,4.07,4.23,5.10,5.27
0.18,0.10,0.66,0.22,0.17,0.18,0.28
0.21,0.06,0.20,0.10,0.13,0.10,0.13
3.09,4.28,2.66,2.79,2.56,2.51,2.74
0.10,0.09,0.37,0.23,0.11,0.11,0.17
173.87,128.79,158.33,145.62,137.74,140.81,141.37
80.85,27.59,118.58,92.76,87.44,78.83,84.28
15.60,54.65,22.26,21.17,7.94,18.04,25.19
25.54,17.95,1.72,1.68,2.05,3.96,3.25
4.69,6.91,1.50,1.82,0.56,1.50,2.17
1.18,2.32,0.82,0.47,0.54,0.15,0.49
3.60,2.69,1.47,1.01,0.65,0.38,1.40
89.23,19.05,62.16,12.83,28.15,73.98,52.52
166.68,81.82,16.58,16.78,105.92,119.65,20.44
1.77,1.35,1.74,3.20,3.90,3.46,2.79
2.20,3.34,0.42,0.85,0.96,2.78,0.82
14.37,10.39,2.12,1.77,1.84,3.17,4.07
0.36,0.18,0.08,0.02,0.04,0.39,0.07
0.25,0.00,0.14,0.03,0.10,0.02,0.10
2.41,3.18,2.06,2.01,1.74,1.59,2.51
0.00,0.06,0.00,0.01,0.10,0.00,0.03
206.92,188.88,221.04,210.38,201.52,202.98,209.11
97.74,101.57,88.77,87.76,91.96,90.41,94.55
34.11,17.14,24.31,32.65,25.49,25.70,16.37
4.15,8.33,6.96,6.12,5.10,5.04,4.94
8.24,2.90,2.73,3.89,4.80,2.41,2.64
1.18,1.23,0.57,0.66,0.88,0.74,0.66
1.65,0.99,0.91,0.85,0.90,2.20,0.95
39.96,45.82,31.68,9.06,11.34,8.45,40.44
93.95,86.04,101.62,93.37,88.34,110.27,94.59
2.52,2.10,2.76,3.56,3.30,3.89,3.68
3.38,1.34,1.26,1.82,1.20,2.23,2.40
9.45,5.21,4.43,6.53,6.64,5.39,4.92
0.10,0.03,0.22,0.23,0.17,0.22,0.29
0.29,0.03,0.17,0.10,0.20,0.13,0.15
3.22,2.42,2.04,2.69,2.49,2.42,2.52
0.12,0.13,0.16,0.07,0.13,0.05,0.23
161.27,206.82,148.37,145.59,154.91,153.95,152.33
94.62,95.59,98.12,103.70,106.85,98.63,100.11
15.91,86.58,16.37,12.17,17.71,20.88,25.29
7.55,8.01,7.52,4.22,3.62,4.54,6.08
2.31,11.96,12.96,3.25,3.55,3.05,2.55
0.67,0.47,0.60,0.38,0.63,0.24,0.38
0.79,0.55,1.06,1.94,0.58,0.88,1.34
54.42,137.32,60.96,51.70,91.83,96.18,81.05
31.00,33.08,36.73,23.55,26.56,18.91,23.02
2.57,3.13,4.62,2.96,2.38,3.23,2.85
1.02,1.08,5.65,1.72,0.32,2.81,2.49
9.10,3.72,5.42,4.43,2.60,6.04,5.25
0.14,0.17,0.35,0.24,0.19,0.08,0.10
0.15,0.01,0.33,0.14,0.00,0.10,0.05
1.95,4.23,2.11,2.09,1.92,2.03,2.07
0.15,0.01,0.46,0.25,0.04,0.04,0.07
133.51,127.28,131.03,130.39,129.56,129.57,139.92
73.48,61.60,72.72,71.32,79.79,76.68,74.46
15.80,34.92,34.15,31.74,32.74,35.79,12.16
3.11,7.82,2.03,4.09,4.15,8.32,5.52
3.44,1.47,1.28,0.85,3.83,6.33,6.54
-0.04,0.35,0.58,0.11,0.14,0.75,1.33
1.01,1.78,0.65,0.11,0.63,1.82,4.89
35.37,2.10,23.91,20.80,27.79,28.39,32.48
20.57,26.52,25.23,19.80,20.51,26.82,20.29
1.35,0.25,0.43,1.08,1.68,2.19,1.59
1.80,0.60,1.65,0.65,0.92,0.99,3.05
8.47,4.70,2.99,1.00,6.02,7.56,9.97
0.23,0.35,0.41,0.09,0.09,0.08,0.09
0.14,0.01,0.06,0.10,0.28,0.07,0.09
2.42,4.87,2.66,2.14,1.85,1.74,1.95
0.03,0.02,0.09,0.04,0.01,0.00,0.03
170.16,186.65,173.79,153.88,154.71,170.50,182.54
86.50,89.65,93.75,102.97,95.15,94.63,104.62
21.82,86.34,14.96,29.49,15.42,26.89,37.46
23.55,8.48,3.92,2.16,2.38,7.36,4.06
4.37,6.64,1.40,3.28,3.01,2.96,2.92
1.45,0.75,0.43,-0.25,0.25,0.56,0.79
1.37,1.71,0.86,0.13,0.37,1.11,0.59
37.82,34.50,45.46,52.11,44.46,50.13,38.19
89.73,62.11,20.70,37.53,44.14,80.84,94.48
1.33,2.07,2.13,2.22,3.27,3.11,2.41
5.06,0.87,1.86,4.32,1.97,2.19,2.50
23.55,11.08,3.34,2.79,1.98,2.56,3.63
0.25,0.07,2.55,0.38,0.28,0.21,0.74
0.23,0.26,0.22,0.10,0.11,0.11,0.22
5.16,11.10,5.09,4.74,4.51,4.41,4.75
0.11,0.10,1.08,0.70,0.21,0.47,0.38
